epic:epic,miscellaneous_or_elegy_or_drama:miscellaneous_or_elegy_or_drama
tesserae/texts/la/plautus.amphitruo.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/plautus.asinaria.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/plautus.aulularia.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/plautus.bacchides.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/plautus.captivi.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/plautus.casina.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/plautus.cistellaria.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/plautus.curculio.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/plautus.epidicus.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/plautus.menaechmi.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/plautus.mercator.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/plautus.miles_gloriosus.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/plautus.mostellaria.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/plautus.persa.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/plautus.poenulus.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/plautus.pseudolus.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/plautus.rudens.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/plautus.stichus.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/plautus.trinummus.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/plautus.truculentus.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/propertius.elegies.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/prudentius.apotheosis.tess,epic
tesserae/texts/la/prudentius.contra_symmachum/prudentius.contra_symmachum.part.1.tess,epic
tesserae/texts/la/prudentius.contra_symmachum/prudentius.contra_symmachum.part.2.tess,epic
tesserae/texts/la/prudentius.dittochaeon.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/prudentius.epilogus.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/prudentius.hamartigenia.tess,epic
tesserae/texts/la/prudentius.psychomachia.tess,epic
tesserae/texts/la/rutilius.de_reditu.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/seneca.agamemnon.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/seneca.hercules_furens.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/seneca.hercules_oetaeus.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/seneca.medea.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/seneca.octavia.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/seneca.oedipus.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/seneca.phaedra.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/seneca.phoenissae.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/seneca.thyestes.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/seneca.troades.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/silius_italicus.punica/silius_italicus.punica.part.1.tess,epic
tesserae/texts/la/silius_italicus.punica/silius_italicus.punica.part.10.tess,epic
tesserae/texts/la/silius_italicus.punica/silius_italicus.punica.part.11.tess,epic
tesserae/texts/la/silius_italicus.punica/silius_italicus.punica.part.12.tess,epic
tesserae/texts/la/silius_italicus.punica/silius_italicus.punica.part.13.tess,epic
tesserae/texts/la/silius_italicus.punica/silius_italicus.punica.part.14.tess,epic
tesserae/texts/la/silius_italicus.punica/silius_italicus.punica.part.15.tess,epic
tesserae/texts/la/silius_italicus.punica/silius_italicus.punica.part.16.tess,epic
tesserae/texts/la/silius_italicus.punica/silius_italicus.punica.part.17.tess,epic
tesserae/texts/la/silius_italicus.punica/silius_italicus.punica.part.2.tess,epic
tesserae/texts/la/silius_italicus.punica/silius_italicus.punica.part.3.tess,epic
tesserae/texts/la/silius_italicus.punica/silius_italicus.punica.part.4.tess,epic
tesserae/texts/la/silius_italicus.punica/silius_italicus.punica.part.5.tess,epic
tesserae/texts/la/silius_italicus.punica/silius_italicus.punica.part.6.tess,epic
tesserae/texts/la/silius_italicus.punica/silius_italicus.punica.part.7.tess,epic
tesserae/texts/la/silius_italicus.punica/silius_italicus.punica.part.8.tess,epic
tesserae/texts/la/silius_italicus.punica/silius_italicus.punica.part.9.tess,epic
tesserae/texts/la/statius.achilleid.tess,epic
tesserae/texts/la/statius.silvae/statius.silvae.part.1.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/statius.silvae/statius.silvae.part.2.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/statius.silvae/statius.silvae.part.3.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/statius.silvae/statius.silvae.part.4.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/statius.silvae/statius.silvae.part.5.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/statius.thebaid/statius.thebaid.part.1.tess,epic
tesserae/texts/la/statius.thebaid/statius.thebaid.part.10.tess,epic
tesserae/texts/la/statius.thebaid/statius.thebaid.part.11.tess,epic
tesserae/texts/la/statius.thebaid/statius.thebaid.part.12.tess,epic
tesserae/texts/la/statius.thebaid/statius.thebaid.part.2.tess,epic
tesserae/texts/la/statius.thebaid/statius.thebaid.part.3.tess,epic
tesserae/texts/la/statius.thebaid/statius.thebaid.part.4.tess,epic
tesserae/texts/la/statius.thebaid/statius.thebaid.part.5.tess,epic
tesserae/texts/la/statius.thebaid/statius.thebaid.part.6.tess,epic
tesserae/texts/la/statius.thebaid/statius.thebaid.part.7.tess,epic
tesserae/texts/la/statius.thebaid/statius.thebaid.part.8.tess,epic
tesserae/texts/la/statius.thebaid/statius.thebaid.part.9.tess,epic
tesserae/texts/la/terence.adelphi.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/terence.andria.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/terence.eunuchus.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/terence.heautontimorumenos.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/terence.hecyra.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/terence.phormio.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/tibullus.elegies.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/valerius_flaccus.argonautica/valerius_flaccus.argonautica.part.1.tess,epic
tesserae/texts/la/valerius_flaccus.argonautica/valerius_flaccus.argonautica.part.2.tess,epic
tesserae/texts/la/valerius_flaccus.argonautica/valerius_flaccus.argonautica.part.3.tess,epic
tesserae/texts/la/valerius_flaccus.argonautica/valerius_flaccus.argonautica.part.4.tess,epic
tesserae/texts/la/valerius_flaccus.argonautica/valerius_flaccus.argonautica.part.5.tess,epic
tesserae/texts/la/valerius_flaccus.argonautica/valerius_flaccus.argonautica.part.6.tess,epic
tesserae/texts/la/valerius_flaccus.argonautica/valerius_flaccus.argonautica.part.7.tess,epic
tesserae/texts/la/valerius_flaccus.argonautica/valerius_flaccus.argonautica.part.8.tess,epic
tesserae/texts/la/vergil.aeneid/vergil.aeneid.part.1.tess,epic
tesserae/texts/la/vergil.aeneid/vergil.aeneid.part.10.tess,epic
tesserae/texts/la/vergil.aeneid/vergil.aeneid.part.11.tess,epic
tesserae/texts/la/vergil.aeneid/vergil.aeneid.part.12.tess,epic
tesserae/texts/la/vergil.aeneid/vergil.aeneid.part.2.tess,epic
tesserae/texts/la/vergil.aeneid/vergil.aeneid.part.3.tess,epic
tesserae/texts/la/vergil.aeneid/vergil.aeneid.part.4.tess,epic
tesserae/texts/la/vergil.aeneid/vergil.aeneid.part.5.tess,epic
tesserae/texts/la/vergil.aeneid/vergil.aeneid.part.6.tess,epic
tesserae/texts/la/vergil.aeneid/vergil.aeneid.part.7.tess,epic
tesserae/texts/la/vergil.aeneid/vergil.aeneid.part.8.tess,epic
tesserae/texts/la/vergil.aeneid/vergil.aeneid.part.9.tess,epic
tesserae/texts/la/vergil.eclogues.tess,miscellaneous_or_elegy_or_drama
tesserae/texts/la/vergil.georgics/vergil.georgics.part.1.tess,epic
tesserae/texts/la/vergil.georgics/vergil.georgics.part.2.tess,epic
tesserae/texts/la/vergil.georgics/vergil.georgics.part.3.tess,epic
tesserae/texts/la/vergil.georgics/vergil.georgics.part.4.tess,epic
